date,sentence
2021-01-09,"potente, che l'ha spinta a combattere contro gli stereotipi di genere per essere accettata come scrittrice e come donna libera ...    The Good Doctor 4 : da stasera su Rai2 torna il dottor Shaun Murphy - alle prese con l'emergenza sanitaria    Riparte"
2023-08-20,"aggravato.    Tra i primi interventi, l'arresto di due persone nello Scalo di Roma Termini, bloccate da un Carabiniere donna libera dal servizio, che li ha sorpresi mentre stavano sottraendo telefono e portafogli a un francese.    L'uomo in vacanza non"
2020-10-09,"sognava odio e vendetta, ma mai avrei potuto uccidere qualcuno: io non sono come il mio assassino.    Sono diventata una donna libera e di pace"".    La senatrice a vita, Liliana Segre, ha concluso così la sua ultima testimonianza pubblica alla Cittadella"
2020-12-25,"il caso: ""Non posso essere messa in croce per una scelta che ho fatto.    Ora devo mettere al primo posto me stessa, sono una donna libera "".    Come finiranno le cose per lei?    Ultim'ora, brucia appartamento del centro città    La Spezia - Polizia e vigili del"
2020-09-11,", Dicenta cercherà di tranquillizzarla sul prosieguo della storia d'amore con Alvarez Hermoso, in quanto ormai è una donna libera .    Difatti, Ursula le confesserà che Alfredo aveva saldato il suo debito con Cesar Andrade, l'uomo che l'aveva ridotta"
2024-04-20,"biomedica.    Il dovere di non abbassare la guardia    Questa scelta di studi ci aiuta a riconoscere in Giulia una giovane donna libera da stereotipi, determinata a perseguire i propri obiettivi, e forse proprio per questo vittima di un uomo che non ha"
2020-10-24,"naturale delle cose.    C'è un afflato eroico nelle donne libere che non disprezzano il maschile e non lo sviliscono.    Una donna libera è oggi una donna centrata, libera è colei che non vede - nel passo dell'uomo non accanto, ma davanti a lei per proteggerla"
2025-03-02,"ha trascinato il fidanzato di un'altra in tugurio (Lorenzo, ndr), per me lei non rappresenta più il modello di una donna libera ed emancipata, ma di vecchio stile"".    L'opinionista del Grande Fratello ha concluso la sua risposta ai fan di Prestes"
2022-02-17,"Bersani con cui danza in una balera vecchio stile, con tenerezza: "" Nel film c'è il Novecento, lei lo incarna.    È una donna libera , coraggiosa, piena di talento.    Il talento è quella cosa che ti rende perdonabile tutto.    Quando lei si mette a cantare ti"
2025-02-01,", non era neanche la strega tossicomane e non era la vittima sacrificale del rock, non era una semplice cantante.    Era una donna libera , una artista che ci lascia un testamento nei suoi dischi sfaccettati e nelle sue ultime parole: ""Se potete,"
2014-05-05,"diffuso un comunicato in cui, ripercorrendo la tappe della battaglia della Fucito, scriveva: ""Silvana, oggi, è una donna libera di combattere, di denunciare, di guardare in faccia i camorristi, di incoraggiare altri napoletani a fare come lei."
2022-11-12,"- Preziotti"" e delle scuole medie ""Nardi"" di Porto San Giorgio.    Significativa l'immagine riportata sulla medaglia un donna libera , con i capelli al vento, realizzata da Aurora Carassai, giovane anconetana che ha già in tasca una laurea in scultura ed"
2024-03-21,"buona educazione femminile"", ricorda Foletti, Sylva Galli cerca di smentire l'assunto contrapponendo uno status di donna libera che un giorno attirerà su di sé le attenzioni del 'femminismo progressista', che in Sylva vedrà colei che si afferma"
2022-10-19,"come ho fatto io"". ""Una moglie"", continua, ""quando la violenza entra in famiglia (..) deve chiedersi se è ancora una donna libera o la paura la sta rendendo schiava"".    Gli anni con Cipollini per Sabrina sono stati ""difficili e di paura, avevo l'"
2019-02-13,"e Francesca si amano, si perdono, si rincorrono ciascuno inseguendo un sogno, quello di diventare musicista o una donna libera .    Italo si trasforma nel treno dell'amore, regala secondariamente a tutti i viaggiatori uno sconto del 60% sull'"
2021-03-09,"Omaggiare una donna con un fiore lÃ¬ dove un'attenzione cosÃ¬ per ovvie ragioni non avviene"".    Da ... CiÃ2 che per una donna libera Ã ̈ un gesto scontato in carcere Ã ̈ la realizzazione di un miracolo.    Non Ã ̈ ...    Disabilità Vaccino, nel Lazio avanti le"
2020-11-09,"con Steffy e ammette di essere convinta che dovrebbe essere punita.    Shauna la blocca, invitandola a fare ammenda da donna libera .    Flo guarda Ridge e lo stilista chiarisce subito che sta accettando la situazione solo per Thomas.    Sanchez spiega a Flo"
2020-01-26,", promosse da un gruppo di donne e di amiche (dal comitato No Pillon al gruppo L'otto anche domani-La libertà delle donne libera tutti), iniziative rivolte a coniugare una riflessione sulla condizione della donna oggi e sulle diverse forme di"
2024-04-13,", cancella tutti i filmati per simulare un guasto tecnico.    Sabato 20 aprile    Mentre Sheila si ripromette di tornare una donna libera , Taylor è tornata a Los Angeles e con Steffy ripensa a quello che è successo per colpa di Thomas, compresa l'"
2024-08-25,"narrata, con un focus sulla statura umana di Sar Mafalda di Savoia che proprio a Chieti trascorse gli ultimi giorni da donna libera dopo l'8 settembre 1943.    La sua esistenza si concluse nel campo di concentramento di Bukenwald il 28 agosto 1944.    Nel """
2021-08-14,"sua ricca carriera di attrice. ""Ho letto i romanzi dell'autrice e mi sono innamorata di questo personaggio.    E' una donna libera , senza manifesti di nessun tipo, fuori dagli schemi sceglie di essere ciò che è.    E poi mi sono innamorata dei rapporti"
2021-08-30,"vestiti, sui quali si è seduta.    Insomma, non può essere in alcun modo identificata con una ninfa o con una dea ma come una donna libera di mostrare il proprio corpo senza imbarazzo o pudore.    Iaia Forte sul palco con ""Albergo a ore"", omaggio all'opera"
2022-04-18,"ricordo di Catherine Spaak.    Da Serena Bortone intervengono artisti che l'hanno conosciuta anche nel privato.    Era una donna libera , ma molto insicura e fragile.    Rita Dalla Chiesa ricorda che scherzava con Fabrizio Frizzi sulla parentela che non si è"
2023-09-24,"per molti artisti.    Dopo la sua partecipazione ad Amici, ha pubblicato nel 2015 il suo primo album in studio "" Donna Libera "", che contiene il singolo ""Credo"".    La canzone era stata presentata al Festival Di Sanremo dello stesso anno,"
2020-09-09,"a Rosa un prezioso anello di fidanzamento.    Prima di partire, Isabel ha uno scontro con Inigo.    Gli spiega di essere una donna libera e, in quanto tale, non ha intenzione di comunicargli ogni passo che fa.    Pablo non vuole seguire le indicazioni del"
2024-07-11,"del suo successo si deve proprio al suo carattere forte e determinato: si è imposta come simbolo di emancipazione, di donna libera e indipendente, capace e del tutto intenzionata a cavarsela da sola, a raggiungere i propri obiettivi senza"
2022-09-07,", con l'indulto e la buona condotta.    Ai domiciliari dal 2014, ha finito di scontare la sua pena nel 2019 ed è ora una donna libera .    ALGHERO Raccolta sangue in piscina ad Alghero    ALGHERO - Ancora una volta sport e solidarietà si intrecciano per"
2020-01-18,"tutta la nostra vicinanza e il nostro amore a Giulia, colpita al volto ma soprattutto colpita nella dignità di giovane donna libera e consapevole di sé.    Il dolore e la rabbia ci lacerano -aggiunge Giosa-ma non cadremo nella spirale di odio in cui è"
2021-03-26,", insulti, sputi e minacce dall'ex compagno. ""Alla fine ho trovato il coraggio di reagire.    E ora mi sento una donna libera ""    ""Grazie ai miei angeli custodi della Finanza sono fuori da un incubo"".    Claudia Columbu, cagliaritana, 43 anni,"
2016-03-10,", attraverso il suo lavoro si adopera per comunicare un forte messaggio di libertà, per affermare l'immagine di una donna libera , femminile e consapevole, perché è convinta che la liberazione del mondo Arabo debba passare attraverso l'"
2022-07-29,"mai al telefono.    Viveva ""pensando solo all'uomo che frequentava"".    Questi sono stati gli ultimi quindici giorni da donna libera per Alessia Pifferi, prima dell'arresto con l'accusa di aver abbandonato la figlia Diana in casa e lasciata morire di"
2025-02-25,", che sancisce il principio fondamentale della presunzione d'innocenza, aggiungendo pure di essere ""una donna libera , porto i tacchi da 12 centimetri, ci tengo al mio fisico, amo vestirmi bene e sono felice di lavorare"".    Però sa che le cose"
2021-03-26,"ricevettero insieme i sacramenti.    ""Anne Lister è contemporanea delle eroine di Jane Austen, ma vive la vita di una donna libera e di una lesbica sicura di sé, in un'epoca in cui le due cose non erano neppure pensabili"": così Margherita Giacobino"
2015-04-03,"dell'esser liberi se non l'esser miti, come ci insegnano testi senza tempo quali il Tao Te Ching?    Ecco, Vianne è una donna libera a cominciare dal nome: inventato, così come inventata è la sua vita che cambia in continuazione.    Cambia città, amici,"
2024-02-23,"sempre ascoltati ed essere presenti con la nostra musica e le nostre idee.    Ho da sempre sostenuto l'immagine di una donna libera , indipendente e attivista"", ha raccontato la cantautrice a Spotify.    ""Non sono una signora"", è una delle prime colonne"
2023-03-03,.    Anzi non vedo l'ora che arrivi il 22 marzo per avere finalmente la prima udienza per la separazione per essere una donna libera a 360 gradi.    Lui ha la sua vita e io la mia quindi fatemi la cortesia di non affiancarmi più a lui in nessun modo perché non
2022-07-10,"anche la nostra @lamborghini.    Supercar a confrontoâ€| - IlContiAndrea : #OrnellaVanoni â€œUna donna libera Ã ̈ quella che non ha bisogno di appoggiarsi al nome di un marito, puÃ2 contare su sÃ©â€| - pino616gmailco1 : In Italia gli"
2021-02-04,".    Ma il suo racconto, dicono Murgano e Curatola, ""non è credibile"".    Ed è per questo che Tassone, ora, è di nuovo una donna libera .    La sua immagine, senza essere arrivati nemmeno alla chiusura delle indagini, è già stata però distrutta.    Una storia"
2020-11-16,"!    Anticipazioni Beautiful Trama Puntate 23-29 Novembre 2020 : Proposta di Matrimonio per Sally!    Flo Fulton Ã ̈ una donna libera a Beautiful.    Tutto merito di Ridge Forrester, che ha deciso di stringere un accordo di immunitÃ per salvare il figlio"
2021-03-13,"Lee Miller, era una modella americana per Vogue poi diventata fotoreporter nella seconda guerra mondiale.    Una donna libera , trasgressiva, dalle mille vite.    Una che ha sfidato il mondo anche con quella foto, scattata dal collega compagno,"
2024-12-26,"femminile sul grande schermo.    Bella Baxter, la sua protagonista, è tutto ciò che potrebbe essere una qualsiasi donna libera dalle sovrastrutture patriarcali.    Emblematico è che il regista abbia dovuto ricorrere a un espediente"
2019-02-07,"italiana, la presunta responsabile di quello che è passato alla storia come il ""Delitto di Cogne"" è finalmente una donna libera .    Annamaria Franzoni ha finito di scontare la sua pena.    Tutto merito della buona condotta tenuta in carcere.    Per lei e"
2024-09-19,"del teatro e del canto del Novecento italiano e anche degli anni 2000 e ancora per sempre; Arisa, artista immensa, donna libera e sognatrice, ironica e poetica, figlia adottiva della nostra città, a cui ha giurato amore eterno; Walter Ricci,"
2019-11-19,"Non dovevo farlo"": spunta il terribile senso di colpa per il gesto prima della morte di Samuele    Annamaria Franzoni è una donna libera e vive le sue giornate in famiglia: ma spunta un dettaglio che riporta indietro nel tempo    Il caso di Annamaria Franzoni è"
2024-06-26,"Gianni, speaker radiofonico e noto cabarettista napoletano:    Il 26 giugno di 5 anni fa moriva mia sorella Loredana.    Donna libera fino all'ultimo respiro, attrice amatissima e stimatissima e poi anche bella bellissima.    Fino a pochi minuti fa non"
2024-02-01,"Milo: ""Libera e generosa""    Sandra Milo, icona del cinema italiano, è stata salutata nel mondo dello spettacolo come una donna libera , generosa e ostile ai pregiudizi.    I suoi funerali sono stati celebrati a Roma, con la partecipazione di molti volti"
2022-02-17,"a sottolineare di non provare più lo stesso sentimento per Alex e sembra rimanere ferma sulle sue posizioni: è una donna libera .    Alex Belli fa il suo ingresso in passerella per incontrare la moglie, le chiede cosa stia succedendo e dove sia finita"
2017-01-05,", ricoprendola di insulti.    Helly è ormai una star.    A 18 anni è volata a Los Angeles per inseguire il suo sogno: essere una donna libera di cantare e ballare.    Diventata famosa nel 2013, con il brano ""Risk it all"", oggi si è guadagnata una fama mondiale e"
2024-02-07,"spacco nella gonna mini. ""Il mio corpo non dovrebbe suscitare scandalo: questo è il mio corpo, il mio manifesto di donna libera "", ha detto Elodie rivendicandosi femminista. ""Tanti mi hanno detto che non c'è bisogno, invece ce n'è eccome!    Il corpo"
2022-08-12,"con la rimozione dall'incarico di coordinatrice provinciale del partito, dimostrando con i fatti di essere una donna libera , che ama il proprio territorio e che non lo svende.    Oggi lascio una Lega che non guarda più ai bisogni dei territori ma"
2021-03-26,"anche spento le sigarette addosso. ""Alla fine ho trovato il coraggio di reagire.    E ora lui è in carcere e io mi sento una donna libera "".    Inizia tutto nell'estate del 2019.    Claudia e Massimiliano si conoscono già, ma quella sera in una paninoteca di"
2016-12-27,"porca lorca.    Klaus si rese conto che Stella sarebbe stata in grado di farlo, non appena si fosse liberata, perché era una donna libera .    ""Ho proprio a che fare con degli incapaci.    Siete riusciti a trovare un pentolone zanzato, da Mario Furlan dei City"
2015-04-09,"a Iris, se ne apprezza la capacità di capire gli altri, di non giudicare, come fa - da nonna - nei confronti di Melina, donna libera e spregiudicata che ""si è seduta per terra, ai miei piedi, ha appoggiato la testa sulle mie ginocchia.    Ha incominciato a"
2020-09-29,"trasferisce a Milano per recitare a teatro Stanno suonando la nostra canzone, rilascia interviste in cui si professa donna libera che non ha più il chiodo fisso del matrimonio, vuole però un uomo che la guidi.    Gianni Brezza? le chiedono. ""Brezza è il"
2014-12-06,"stile.    Cosa restituisca la parola a Kyla siamo lasciati liberi di deciderlo.    Potrebbe essere l'amicizia con la madre, donna libera , un po' fuori di testa, gran fumatrice e molto discontinua nell'amore per il figlio.    Ma potrebbe, più a ragione, essere"
2021-03-28,"pure per la Rocchini, diventata a tutti gli effetti un'imprenditrice con la sua Maison Roel, che punta a vestire una donna libera e indipendente.    Sconcerti : lâ€TMeliminazione della Juve dalla Champions Ã ̈ una sconfitta della societÃ    Sconcerti :"
2021-12-29,"di guerra e una scrittrice conosciuta in tutto il mondo.    ArticoloFallaci, 15 anni dalla morte.    Nardella: ""Una donna libera che merita rispetto""    Firenze, 15 settembre 2021 - ""Come diceva Oscar Wilde le persone le puoi amare o non amare ma se sono"
2021-02-05,"fa, le hanno dedicato un monumento alto quaranta metri: il vecchio acquedotto.    Viaggio tra i concittadini fan di una donna libera    SANT'AGATA BOLOGNESE Qualcuno si stupisce. ""Un monumento alto quaranta metri per una cantante?    Che esagerazione"".    E"
2023-08-25,"dato che è stata gestita senza alcun senso logico e senza nessuna cognizione di causa.    Per Miranda che è sempre stata una donna libera e indipendente, questa è stata una scelta poco incline al suo personaggio.    Infatti la sua storia proprio non è piaciuta"
2022-07-10,""".    E alla domanda sul perché si fosse descritta in questi termini la cantante ha risposto:    Sono sempre stata una donna libera di vivere, di volteggiare in aria per poi cadere, e poi volteggiavo di nuovo e ricadevo: un'altalena.    Una donna libera è"
2019-11-28,": ""Sono fortunata, sono ancora la ragazza di allora.    Alla fine della fiera, non ho né rimpianti, né rimorsi.    Sono una donna libera "".    E non è poco.    ""Ero buona.    Certo, molto più fumantina, ma spontanea, molto creativa, allegra.    Sono sempre stata una"
2020-08-31,"cittadino in una condivisione su Facebook.    Marianna, la testimone di giustizia che sogna di tornare in Calabria da donna libera    Permise di condannare gli assassini dei suoi due fratelli a Crotone uccisi per mano della 'ndrangheta a metà degli anni"
2024-06-16,veramente soddisfatta.    Proprio perché era imprevedibile... Forse il modo in cui mi piace immaginarla è uno solo: una donna libera che vive la sua vita nel modo che preferisce.    Quello che di lei non si sapeva    Quali sono gli aneddoti o le storie inedite di
2021-02-02,"di andare a convivere.    Non avevamo, però, fatto i conti con quell'uomo che aveva deciso che Sonia non poteva essere una donna libera "".    Bari, sospesa l'interdittiva antimafia per il bar di Pane e pomodoro: si punta alla riapertura    Il provvedimento per"
2020-01-29,"di essere un calciatore gli ho detto 'per carità, alla larga, non voglio avere a che fare con te'.    Oggi, che sono una donna libera e felicemente single, mi rendo conto di quanto sia dura la vita da ""wag""... Lasci da parte la tua vita per seguire la vita"
2021-07-14,"la mentalità di un intero paese da un'Italia bigotta alla modernità e alla trasversalità, incarnando lo spirito della donna libera , determinata e che insegue i propri sogni: per questo ogni donna italiana può almeno in parte identificarsi in lei.    Le"
2018-06-08,", sulla strada statale per Campoligure.    Nell'impatto tra i due mezzi una signora è rimasta bloccata nella vettura.    Donna libera - Sul posto sono giunti i vigili del fuoco di Multedo che hanno utilizzato la cesoia e il divaricatore idraulico e hanno"
2024-05-22,"in concorso, in gara per il prestigioso premio.    Per il suo nuovo film, Sorrentino si è scelto un alter ego femminile, una donna libera e affascinante come la città che la origina, Napoli, seguita nelle varie fasi della sua vita.    Una storia"
2019-12-30,"pochi giorni fa, come previsto dal cronoprogramma.    Presentata ristampa libro su 'Maria Occhipinti Storia di una donna libera '.    Presentata domenica pomeriggio a Palazzo Garofalo la ristampa della prima edizione del1984 del libro di Laura"
2021-01-14,"Conti Carlo Conti la malattia e la forza che non vâ€TMÃ ̈ piÃ1 â€œnon ce la faccioâ€ Yeslife Arisa: Â""Vado a Sanremo da donna libera , ora mi accetto cosÃ¬ come sonoÂ""    La crisi di Governo è ormai aperta, dopo che ieri il leader di Italia Viva Matteo Renzi"
2020-11-16,"pensare di privarsene."" ERIKSEN E I CONSIGLI PER GLI ACQUISTI - ...    Pamela, una donna forte che viveva la sua vita da donna libera e che ha pagato con la vita questa sua libertà.    Ricordiamo la storia di Pamela uccisa barbaramente a Morro de Sao Paulo il"
2018-02-20,", onde permettere all'universalità di potersi esprimere il più liberamente possibile.    In un regime monogamico una donna libera può collaborare più facilmente, per il bene dell'umanità, con un uomo sposato.    Non a caso in un regime poligamico le"
2020-01-20,"Sandra l'ha fatto leggere per prima a me"".    Un'intelligenza e una presenza di spirito straordinaria"".    ""Io non ero una donna libera , lui era un uomo molto impegnato.    Ricordo che una volta mi ero lamentata perché lo avevo aspettato un po', e lui mi disse:"
2024-04-23,"felici e contenti.    Per me finisce qui"".    Al contrario un utente ha spezzato una lancia a favore di Luzzi: ""Fa bene, è una donna libera in tutto"".    L'ex concorrente del GF Giselda Torresan ha invece tagliato corto: ""Chi si somiglia si piglia"".    12 Maggio"
2024-05-16,"spegne 50 candeline: ""compio i miei sogni""    Più informazioni su    ""La cosa più importante che ho imparato è essere una donna libera , e che le persone diverse da me potevamo insegnarmi ciò che non vedevo, permettendomi di scoprire nuove cose"".    In una"
2020-09-14,"che in Ruanda hanno fatto sforzi per migliorare la trasparenza degli investimenti.    Su Sky Cortellesi è Petra: ""Una donna libera come vorremmo essere tutte""    ROMA - Un'ispettrice della mobile di Genova dal carattere aspro, che se ne infischia del"
2024-12-02,"marziali poi.    Un romanzo che fa della lotta la metafora di una battaglia contro la società e il viatico per diventare la donna libera che ognuna desidera essere.    Per il padre che ripara tutto    Lampadine fulminate, porte che cigolano, cornicioni che"
2023-10-19,"in bianco e nero Eva porta l'amore, che è l'unica cosa che può portare via la corruzione.    E per la prima volta trova una donna libera e indipendente (Altea, ndr).    Il primo giorno di riprese con Monica ero molto emozionante, ci siamo divertite"
2022-08-07,"ALBA, RIENTRAVO ALLE 7... ""), IL TOY BOY E I VIDEO SUI SOCIAL: HO DOVUTO SGOMITARE.    SU INSTAGRAM METTO CAVOLATE.    SONO UNA DONNA LIBERA "" - VIDEO -    Coppa Italia: il Verona perde in casa 4-1 col Bari ed Ã ̈ eliminato    Coppa Italia: il Verona perde in casa 4-1 col"
2022-05-28,"Donno - il magazine: Simone de Beauvoir: femminismo e libri da leggere ... - stocazzzzzo : RT @valenspina84: â€œUna donna libera Ã ̈ lâ€TMassoluto contrario di una donna leggeraâ€œ Simone de Beauvoir,saggio â€œQuando tutte le donne del mondoâ€| -"
